customer_id,customer_state,highest_education,employment_status,gender,income,residence_type,marital_status,sales_channel,coverage,policy,vehicle_class,vehicle_size,monthly_premium,months_since_last_claim,total_claim_amount,customer_lifetime_value
AF81450,California,High School,Disabled,Male,28657,Suburban,Married,Branch,Basic,Personal,SUV,Small,100,4,1588.74,11431.73
AG32304,Nevada,Associate,Employed,Female,39133,Rural,Married,Call Center,Basic,Personal,Four-Door Car,Midsize,67,25,1090.52,5418.73
AG45299,California,Associate,Employed,Male,76763,Rural,Divorced,Web,Basic,Personal,SUV,Small,108,12,1186.46,8595.73
AG47947,Washington,High School,Employed,Female,81872,Rural,Married,Web,Premium,Personal,Four-Door Car,Midsize,115,10,1256.44,14024.36
AG58599,Oregon,High School,Employed,Female,26004,Suburban,Married,Web,Basic,Personal,Four-Door Car,Midsize,70,12,1336,2805.1
AG62087,California,Bachelor,Employed,Male,30335,Urban,Married,Agent,Extended,Corporate,Four-Door Car,Midsize,87,17,1326.13,3412.57
AG62140,California,Associate,Employed,Female,33716,Suburban,Married,Agent,Basic,Personal,Four-Door Car,Small,68,18,1349.43,5386.33
AG85127,Oregon,Bachelor,Employed,Male,61409,Urban,Married,Web,Basic,Special,Four-Door Car,Midsize,68,30,1264.04,8085.45
AH17051,California,Bachelor,Employed,Male,29695,Suburban,Married,Branch,Extended,Personal,Four-Door Car,Midsize,94,34,1554.1399999999999,14700.5
AH22694,California,Doctoral,Employed,Male,24317,Suburban,Married,Call Center,Basic,Corporate,Four-Door Car,Midsize,73,2,1350.4,5850.45
AH39293,California,Associate,Employed,Male,72302,Suburban,Divorced,Agent,Basic,Personal,Two-Door Car,Midsize,66,6,1316.8,2616.61
AH41065,Washington,High School,Employed,Male,58851,Suburban,Married,Web,Extended,Personal,Four-Door Car,Midsize,79,11,1494.19,18943.27
AH41449,Nevada,Associate,Employed,Male,24666,Rural,Married,Branch,Basic,Personal,Sports Car,Midsize,101,32,1151.84,7907.13
AH53588,California,Associate,Retired,Male,26802,Suburban,Married,Agent,Basic,Personal,Two-Door Car,Midsize,66,7,1316.8,4636.55
AH55475,Arizona,Associate,Employed,Male,44246,Suburban,Married,Web,Extended,Personal,SUV,Small,122,1,1585.6,33053.27
AH58807,Arizona,Associate,Employed,Female,84650,Urban,Married,Agent,Basic,Personal,Luxury Car,Midsize,185,13,1660.47,51426.25
AH65907,California,Bachelor,Employed,Female,51790,Suburban,Married,Agent,Basic,Personal,Four-Door Car,Large,71,12,1340.8,2859.41
AH84063,Oregon,Associate,Employed,Female,89642,Rural,Married,Call Center,Extended,Corporate,SUV,Midsize,121,11,1086.32,4719.45
AH89786,Oregon,High School,Retired,Male,16997,Suburban,Married,Branch,Basic,Personal,Two-Door Car,Midsize,65,35,1468,2174.11
AH92481,California,Associate,Employed,Female,53219,Suburban,Married,Call Center,Basic,Corporate,SUV,Midsize,117,24,1561.6,4673.2
AH97088,Nevada,High School,Employed,Male,84417,Rural,Divorced,Agent,Extended,Personal,Two-Door Car,Midsize,98,5,1139.71,7803.5
AH99727,Arizona,Bachelor,Disabled,Female,11612,Suburban,Married,Branch,Basic,Personal,Four-Door Car,Midsize,71,20,1340.8,5623.31
AI11191,Arizona,High School,Employed,Female,77853,Rural,Single,Branch,Basic,Personal,SUV,Midsize,106,12,1165.24,4228.25
AI14767,California,High School,Employed,Female,37455,Suburban,Married,Call Center,Basic,Personal,SUV,Small,114,13,1547.2,40688.53
AI47152,Nevada,Associate,Employed,Female,35434,Urban,Married,Agent,Basic,Personal,Four-Door Car,Midsize,66,19,1297.05,7992.78
AI49188,Nevada,Bachelor,Employed,Female,48767,Suburban,Married,Agent,Premium,Personal,Two-Door Car,Midsize,108,18,1566.47,12887.43
AI58313,Nevada,Associate,Employed,Female,75425,Suburban,Divorced,Call Center,Basic,Personal,Sports Car,Midsize,116,25,1663.6399999999999,36946.06
AI58500,Arizona,Associate,Employed,Female,26554,Suburban,Married,Web,Basic,Personal,Two-Door Car,Small,68,18,1391.69,2689.17
AI61368,Nevada,High School,Medical Leave,Female,22510,Suburban,Single,Web,Extended,Personal,Four-Door Car,Small,95,19,1456,17651.96
AI74959,California,High School,Employed,Male,25927,Suburban,Single,Web,Basic,Personal,SUV,Midsize,103,6,1674.97,3933.81
AI85843,Arizona,Master,Employed,Female,33288,Urban,Married,Branch,Extended,Personal,Four-Door Car,Midsize,86,1,1221.8600000000001,6756.65
AJ32539,Oregon,Bachelor,Employed,Male,25860,Suburban,Married,Web,Basic,Personal,Four-Door Car,Midsize,72,12,1345.6,2829.31
AJ69778,Oregon,High School,Employed,Female,77135,Rural,Divorced,Web,Extended,Personal,Four-Door Car,Midsize,84,3,1098.37,6514.43
AJ89107,Arizona,High School,Employed,Male,27072,Suburban,Married,Branch,Extended,Personal,Four-Door Car,Large,93,24,1565.3400000000001,7349.33
AJ89108,California,Bachelor,Employed,Female,51643,Suburban,Single,Agent,Premium,Personal,Luxury Car,Midsize,283,16,2358.4,11009.13
AK11669,Arizona,Doctoral,Employed,Female,59232,Suburban,Divorced,Branch,Extended,Corporate,Two-Door Car,Midsize,85,6,1408,10130.93
AK46006,Oregon,Bachelor,Medical Leave,Male,18047,Suburban,Married,Call Center,Extended,Personal,Luxury SUV,Midsize,242,5,2350.38,36293.15
AK54675,California,Bachelor,Employed,Female,84863,Suburban,Divorced,Call Center,Extended,Corporate,SUV,Large,138,28,1691.7,5535.96
AK59340,California,High School,Employed,Male,42360,Rural,Single,Branch,Basic,Corporate,Four-Door Car,Midsize,71,29,1099.51,5601.14
AK72422,California,Associate,Disabled,Male,21070,Suburban,Divorced,Call Center,Premium,Corporate,Sports Car,Small,195,6,2404,29049.71
AL21967,Oregon,Master,Employed,Male,74243,Rural,Married,Call Center,Extended,Corporate,Four-Door Car,Midsize,84,34,1071.31,10171.48
AL27471,Oregon,Doctoral,Employed,Male,30821,Urban,Married,Web,Extended,Personal,Four-Door Car,Midsize,97,27,1451.32,3911.12
AL43475,California,Associate,Employed,Female,44938,Suburban,Married,Branch,Basic,Personal,Luxury Car,Large,183,7,3069.31,7373.23
AL43715,Nevada,Master,Employed,Male,67541,Rural,Married,Agent,Premium,Personal,Four-Door Car,Midsize,104,10,1203.8899999999999,8310.7
AL46984,California,High School,Employed,Male,43259,Suburban,Married,Branch,Basic,Personal,Four-Door Car,Midsize,73,12,1350.4,8730.42
AM17304,Arizona,Master,Employed,Female,45356,Suburban,Single,Call Center,Extended,Personal,Four-Door Car,Midsize,90,31,1462.04,7218.38
AM26598,Arizona,Associate,Employed,Female,89672,Urban,Married,Agent,Basic,Personal,Four-Door Car,Midsize,72,7,1309.57,2913.49
AM29546,Oregon,Associate,Employed,Male,57733,Suburban,Married,Call Center,Basic,Personal,Two-Door Car,Midsize,66,24,1393.53,5225.03
AM30008,California,High School,Employed,Male,28327,Suburban,Single,Web,Basic,Personal,Luxury Car,Midsize,185,29,1888,14131.12
AM34581,Oregon,Bachelor,Employed,Female,24432,Rural,Married,Branch,Extended,Corporate,Two-Door Car,Midsize,87,19,1071.11,6680.15
AM36670,California,Associate,Employed,Female,54827,Rural,Single,Branch,Basic,Personal,Four-Door Car,Large,64,17,1132.95,4997.78
AM52614,Oregon,Bachelor,Employed,Female,41402,Suburban,Divorced,Branch,Basic,Personal,Sports Car,Midsize,119,26,1571.2,4477.45
AM53473,Arizona,Bachelor,Employed,Female,60087,Suburban,Single,Agent,Basic,Special,Four-Door Car,Small,74,21,1355.2,5821.79
AM57175,Oregon,High School,Employed,Female,62473,Suburban,Divorced,Branch,Extended,Personal,Four-Door Car,Small,76,6,1507.56,15000.84
AM72411,Oregon,High School,Medical Leave,Male,23253,Suburban,Divorced,Branch,Basic,Personal,Two-Door Car,Midsize,61,20,1292.8,2279.7
AM79057,Oregon,Bachelor,Employed,Female,69024,Urban,Married,Web,Basic,Personal,Four-Door Car,Midsize,61,27,1238.53,2287.92
AM88377,California,Bachelor,Retired,Female,10180,Suburban,Married,Branch,Basic,Corporate,Two-Door Car,Midsize,65,17,1455.65,5049.77
AM89558,Nevada,Associate,Retired,Male,26802,Suburban,Married,Agent,Basic,Corporate,Two-Door Car,Midsize,66,7,1316.8,4636.55
AM92343,Oregon,High School,Employed,Female,67616,Urban,Married,Agent,Extended,Personal,Four-Door Car,Midsize,96,25,1340.31,11599.5
AM97901,Nevada,Associate,Employed,Female,84831,Suburban,Single,Branch,Premium,Special,Sports Car,Midsize,192,13,2336.9300000000003,22986.15
AM99192,Arizona,Associate,Employed,Male,42743,Rural,Married,Call Center,Basic,Personal,SUV,Midsize,117,5,1101.29,9061.95
AN32867,California,Bachelor,Employed,Male,81285,Suburban,Single,Branch,Extended,Personal,Four-Door Car,Midsize,81,18,1441.77,3124.93
AN36757,Oregon,Master,Employed,Male,66851,Urban,Married,Branch,Extended,Personal,Four-Door Car,Midsize,92,10,1408.55,22056
AN57220,Oregon,Bachelor,Employed,Female,96917,Rural,Married,Web,Basic,Special,Four-Door Car,Midsize,61,24,1071.94,17263.64
AN79079,Arizona,Doctoral,Employed,Male,40870,Suburban,Married,Agent,Basic,Personal,SUV,Large,105,3,1504,12731.95
AN80983,Oregon,Associate,Employed,Male,85721,Suburban,Married,Web,Basic,Corporate,Four-Door Car,Midsize,65,12,1312,5218.34
AO20938,Arizona,High School,Employed,Female,31433,Suburban,Married,Call Center,Basic,Personal,SUV,Small,100,5,1635.02,32021.4
AO40386,Oregon,Associate,Retired,Male,27504,Suburban,Divorced,Branch,Extended,Personal,Four-Door Car,Small,91,26,1436.8,22647.22
AO42003,Oregon,Associate,Employed,Female,55907,Suburban,Married,Agent,Basic,Corporate,SUV,Large,104,23,1499.2,16681.33
AO74776,California,High School,Employed,Female,27824,Suburban,Married,Agent,Basic,Personal,SUV,Large,118,32,1566.4,9427.68
AO77635,California,Associate,Employed,Female,28987,Rural,Married,Branch,Basic,Personal,SUV,Midsize,102,8,1245.69,4005.72
AO98601,Washington,Bachelor,Employed,Male,54500,Suburban,Married,Agent,Basic,Corporate,Two-Door Car,Small,63,28,1302.4,5018.89
AP27994,Oregon,High School,Disabled,Female,23124,Suburban,Married,Agent,Basic,Special,Sports Car,Midsize,112,27,1537.6,4372.49
AP47670,California,High School,Employed,Male,29465,Suburban,Married,Call Center,Basic,Personal,Four-Door Car,Midsize,63,6,1302.4,2497.91
AP52126,Oregon,Associate,Employed,Female,68562,Rural,Married,Branch,Basic,Personal,SUV,Midsize,108,29,1228.5,13151.83
AP52565,Arizona,High School,Employed,Female,70328,Urban,Married,Branch,Extended,Corporate,Four-Door Car,Midsize,84,11,1293.23,6746.43
AP56340,Washington,Bachelor,Disabled,Male,13103,Suburban,Married,Agent,Basic,Personal,Four-Door Car,Midsize,72,21,1458,5384.67
AP59947,California,Bachelor,Employed,Female,55843,Suburban,Married,Call Center,Basic,Corporate,Two-Door Car,Midsize,64,3,1307.2,7690.16
AP66226,Nevada,Bachelor,Medical Leave,Male,18505,Suburban,Married,Web,Basic,Personal,Four-Door Car,Midsize,66,15,1316.8,4479.49
AP67935,California,Associate,Employed,Male,64749,Urban,Married,Branch,Basic,Special,Four-Door Car,Midsize,64,24,1302.57,7619.52
AP89323,Nevada,Associate,Employed,Female,40516,Suburban,Divorced,Agent,Basic,Personal,Four-Door Car,Small,70,9,1336,2728.84
AP95078,Oregon,Bachelor,Employed,Male,37229,Suburban,Married,Branch,Basic,Personal,Four-Door Car,Midsize,67,9,1321.6,7855.32
AQ25590,Washington,High School,Medical Leave,Female,20282,Suburban,Divorced,Agent,Extended,Personal,Two-Door Car,Midsize,79,19,1507.55,5445.37
AQ51159,Arizona,High School,Employed,Female,38676,Rural,Married,Branch,Basic,Personal,Four-Door Car,Midsize,72,24,1146.12,8586.8
AQ51368,Oregon,Bachelor,Employed,Female,72540,Suburban,Married,Call Center,Extended,Corporate,Two-Door Car,Midsize,88,7,1631.74,10656.88
AQ52711,Oregon,Bachelor,Employed,Female,65337,Suburban,Married,Agent,Premium,Personal,SUV,Large,173,9,1830.4,6897.51
AQ70619,California,High School,Employed,Male,71024,Urban,Married,Agent,Basic,Corporate,Four-Door Car,Midsize,65,26,1266.6399999999999,13046.65
AQ91207,California,High School,Employed,Male,38667,Urban,Married,Branch,Basic,Personal,Four-Door Car,Midsize,63,9,1293.07,2487.65
AQ94108,Oregon,Associate,Employed,Female,56704,Rural,Married,Branch,Basic,Corporate,Four-Door Car,Midsize,71,33,1084.72,8507.83
AR17553,California,Master,Medical Leave,Male,22944,Suburban,Married,Branch,Extended,Corporate,Four-Door Car,Midsize,80,26,1488.27,6111.05
AR25213,Arizona,High School,Employed,Male,40858,Suburban,Married,Agent,Basic,Personal,Luxury SUV,Large,184,10,1883.2,7282.97
AR40217,Oregon,High School,Employed,Female,42754,Urban,Divorced,Agent,Basic,Personal,Two-Door Car,Midsize,65,5,1279.72,19079.1
AR47849,Nevada,Bachelor,Employed,Female,48567,Suburban,Single,Agent,Extended,Personal,SUV,Midsize,130,12,1624,5015.01
AR69517,California,Associate,Retired,Male,25251,Suburban,Divorced,Web,Basic,Corporate,Four-Door Car,Midsize,66,13,1316.8,11790.5
AR75105,California,Associate,Retired,Female,21073,Suburban,Divorced,Agent,Basic,Personal,SUV,Small,106,25,1508.8,7805.31
AR83514,Arizona,High School,Employed,Female,59522,Suburban,Married,Web,Extended,Corporate,Four-Door Car,Small,89,0,1427.2,7153.67
AR96516,Oregon,Bachelor,Employed,Female,50217,Suburban,Married,Web,Basic,Personal,Two-Door Car,Midsize,74,18,1355.2,5914.95
AS17174,Oregon,High School,Employed,Male,95697,Rural,Married,Agent,Basic,Personal,Two-Door Car,Midsize,61,16,1114.27,2471.53
AS18084,California,Associate,Medical Leave,Female,25370,Suburban,Married,Branch,Basic,Personal,Sports Car,Large,102,10,1489.6,11638.9
AS26192,Oregon,High School,Employed,Male,50406,Rural,Divorced,Call Center,Basic,Corporate,Four-Door Car,Midsize,70,20,1132.21,5519.08
AS48176,Oregon,Bachelor,Retired,Male,14973,Suburban,Divorced,Branch,Basic,Personal,SUV,Midsize,115,2,1828,12168.74
AS55478,Oregon,Bachelor,Employed,Male,26670,Suburban,Married,Call Center,Extended,Corporate,Four-Door Car,Small,98,23,1541.23,3874.87
AS60178,Nevada,Bachelor,Employed,Female,54655,Urban,Married,Agent,Basic,Corporate,Four-Door Car,Small,70,34,1186.6100000000001,2796.87
AS77287,California,Associate,Disabled,Male,25452,Suburban,Single,Agent,Basic,Personal,Sports Car,Midsize,107,20,1954.69,8099.57
AS78838,California,Bachelor,Medical Leave,Male,29735,Suburban,Single,Agent,Basic,Personal,Four-Door Car,Midsize,69,3,1331.2,2453.57
AS93181,Arizona,Bachelor,Disabled,Female,14985,Suburban,Married,Call Center,Basic,Personal,Sports Car,Midsize,116,12,1571.3200000000002,4506.58
AS97690,Arizona,Associate,Employed,Male,54483,Suburban,Married,Call Center,Basic,Personal,Two-Door Car,Midsize,61,6,1292.8,2411.26
AT13963,Washington,Master,Employed,Female,43946,Urban,Divorced,Call Center,Extended,Corporate,Sports Car,Midsize,133,13,1415.99,15865.17
AT18041,California,High School,Employed,Female,63471,Suburban,Married,Agent,Basic,Personal,Two-Door Car,Large,67,0,1387.72,2682.7
AT24793,Oregon,Associate,Employed,Male,25352,Suburban,Married,Call Center,Premium,Special,Sports Car,Midsize,173,10,1830.4,6863.12
AT26484,Nevada,Associate,Employed,Male,25221,Suburban,Married,Web,Premium,Special,Four-Door Car,Small,103,10,1616.01,3818.47
AT29024,California,High School,Employed,Female,27005,Suburban,Married,Agent,Basic,Corporate,Four-Door Car,Small,61,10,1311.84,4892.63
AT30076,Nevada,High School,Employed,Female,31727,Suburban,Single,Agent,Extended,Personal,Four-Door Car,Small,92,1,1495.75,3536.65
AT31367,California,Associate,Retired,Female,18577,Suburban,Divorced,Branch,Extended,Corporate,Four-Door Car,Midsize,86,21,1412.8,6273.91
AT33529,California,Doctoral,Employed,Female,30893,Rural,Divorced,Branch,Basic,Corporate,Four-Door Car,Midsize,70,25,1085.42,2776.75
AT41276,California,Bachelor,Employed,Male,36554,Suburban,Married,Call Center,Basic,Personal,Two-Door Car,Small,70,6,1433.3899999999999,8110.54
AT49447,California,Bachelor,Employed,Male,99359,Rural,Married,Call Center,Extended,Personal,Two-Door Car,Midsize,95,16,1233.27,7591.83
AT55072,Arizona,Associate,Employed,Male,65733,Suburban,Married,Agent,Premium,Personal,Four-Door Car,Midsize,113,13,1684.95,9103.9
AT79008,California,Bachelor,Employed,Female,40006,Rural,Divorced,Branch,Premium,Personal,Two-Door Car,Midsize,114,34,1132.57,9065.26
AT84725,Washington,Associate,Retired,Male,28215,Suburban,Single,Agent,Basic,Personal,Two-Door Car,Midsize,65,15,1468,4650.06
AT86990,Arizona,Bachelor,Employed,Female,28738,Rural,Divorced,Agent,Basic,Personal,Two-Door Car,Midsize,62,2,1081.61,2487.26
AT89553,California,Associate,Retired,Male,23091,Suburban,Married,Agent,Extended,Personal,Four-Door Car,Midsize,96,28,1460.8,5926.73
AT93647,California,Associate,Employed,Female,60252,Urban,Married,Agent,Basic,Personal,Four-Door Car,Midsize,65,10,1182.44,2605.57
AU11344,Oregon,Bachelor,Employed,Female,35666,Rural,Divorced,Call Center,Extended,Personal,SUV,Small,131,12,1312.1100000000001,5142.39
AU13233,California,High School,Employed,Female,71401,Urban,Married,Agent,Basic,Personal,Four-Door Car,Midsize,73,15,1287.33,5908.75
AU23837,Oregon,Bachelor,Employed,Female,64014,Urban,Single,Agent,Basic,Corporate,Four-Door Car,Large,63,26,1295.87,5010.38
AU45793,Arizona,Doctoral,Employed,Male,30817,Rural,Divorced,Branch,Extended,Corporate,Four-Door Car,Midsize,88,25,1091.83,3436.13
AU62013,California,Doctoral,Employed,Female,67572,Urban,Married,Branch,Basic,Personal,Sports Car,Small,102,7,1296.21,24826.89
AU71562,Washington,High School,Employed,Female,27179,Suburban,Married,Branch,Basic,Personal,Four-Door Car,Midsize,74,32,1355.2,2936.73
AU75025,Oregon,Associate,Employed,Male,58089,Suburban,Married,Agent,Basic,Personal,SUV,Midsize,118,31,1566.4,4686.47
AU77281,Oregon,Associate,Employed,Female,63860,Urban,Married,Agent,Basic,Personal,Four-Door Car,Midsize,62,26,1208.6,2472.47
AU91447,Oregon,Doctoral,Employed,Male,40870,Suburban,Married,Agent,Basic,Special,SUV,Large,105,3,1504,12731.95
AU94279,California,High School,Employed,Male,24976,Suburban,Single,Agent,Basic,Personal,Two-Door Car,Midsize,72,2,1566.2,5493.02
AU98438,Arizona,Bachelor,Employed,Female,94812,Rural,Married,Branch,Basic,Personal,Four-Door Car,Midsize,70,11,1121.03,2833.98
AV17528,Nevada,High School,Employed,Female,42600,Suburban,Married,Branch,Basic,Personal,Sports Car,Midsize,115,10,1660.1399999999999,9233.19
AV49798,Arizona,Associate,Employed,Male,94263,Rural,Married,Branch,Extended,Personal,Four-Door Car,Midsize,98,33,1112.42,7842.87
AV72430,Oregon,Master,Employed,Male,75526,Suburban,Married,Branch,Premium,Personal,Four-Door Car,Small,103,26,1494.4,16531.7
AV76907,Oregon,Associate,Employed,Female,40864,Rural,Married,Agent,Basic,Personal,SUV,Midsize,109,16,1166.94,4282.95
AV93209,California,High School,Employed,Female,31283,Suburban,Married,Agent,Premium,Personal,Four-Door Car,Midsize,104,18,1499.2,12487.58
AV96010,Oregon,Associate,Employed,Male,40097,Rural,Single,Call Center,Extended,Personal,Two-Door Car,Midsize,92,23,1227.22,3289.12
AW27717,California,High School,Disabled,Female,12503,Rural,Single,Branch,Extended,Personal,Four-Door Car,Midsize,92,4,1120.7,20531.65
AW36627,California,High School,Employed,Female,58577,Urban,Married,Agent,Basic,Personal,SUV,Midsize,110,6,1303.87,4428.03
AW77988,Oregon,High School,Disabled,Male,17588,Suburban,Single,Web,Basic,Personal,Luxury Car,Midsize,192,24,2382.4,35850.6
AW84946,Arizona,Bachelor,Employed,Male,36349,Urban,Married,Agent,Basic,Personal,SUV,Midsize,117,13,1326.79,4479.6
AW86033,California,Associate,Disabled,Male,18287,Suburban,Married,Agent,Basic,Personal,Two-Door Car,Midsize,61,6,1292.8,2119.89
AX28231,Washington,High School,Employed,Male,49345,Urban,Married,Agent,Basic,Personal,Two-Door Car,Midsize,69,10,1251.08,5431.37
AX39008,Oregon,Bachelor,Employed,Male,80409,Urban,Divorced,Call Center,Basic,Personal,Two-Door Car,Midsize,74,28,1262.98,26113.36
AX56708,California,High School,Retired,Male,20862,Suburban,Divorced,Agent,Basic,Personal,Four-Door Car,Small,68,1,1326.4,4794.48
AX70794,California,High School,Employed,Male,47122,Suburban,Single,Branch,Basic,Personal,Two-Door Car,Midsize,62,6,1297.6,2449.32
AX71238,California,High School,Employed,Male,38096,Suburban,Divorced,Agent,Extended,Personal,Two-Door Car,Midsize,99,3,1475.2,3963.4
AX71707,Arizona,Associate,Employed,Female,67881,Suburban,Married,Branch,Extended,Personal,Two-Door Car,Midsize,79,6,1391.04,6383.48
AX86150,Washington,High School,Employed,Male,62777,Rural,Single,Agent,Basic,Personal,Two-Door Car,Midsize,67,34,1101.29,2656.71
AX86552,California,Associate,Medical Leave,Male,24053,Suburban,Divorced,Web,Extended,Personal,Four-Door Car,Midsize,87,33,1624.53,6198.79
AY18433,Washington,High School,Employed,Female,45473,Rural,Married,Branch,Extended,Special,Two-Door Car,Midsize,76,10,1188.94,27382.82
AY19539,California,Associate,Retired,Male,13528,Suburban,Single,Agent,Extended,Personal,Four-Door Car,Midsize,86,21,1412.8,6005.85
AY26056,Arizona,Associate,Employed,Female,63892,Rural,Married,Agent,Basic,Personal,Four-Door Car,Midsize,66,2,1090.71,7948.57
