movie_title,title_year,main_genre,duration,content_rating,Rate,imdb_score,budget,Profit,num_critic_for_reviews,num_user_for_reviews,num_voted_users,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes
Meet the Fockers,2004,Comedy,106.0,PG-13,Average,6.3,80000000,199167575,141.0,428.0,211296,0,116,22000,713.0
The Iron Giant,1999,Action,90.0,PG,High,8.0,70000000,-46840695,162.0,514.0,128455,0,663,14000,631.0
Yes Man,2008,Comedy,104.0,PG-13,High,6.8,70000000,27680195,190.0,243.0,271691,0,235,14000,11000.0
Foodfight!,2012,Action,91.0,PG,Low,1.7,65000000,-64745215,12.0,66.0,4377,0,11,719,611.0
City by the Sea,2002,Crime,108.0,R,Average,6.2,60000000,-37566085,104.0,166.0,21319,416,105,22000,11000.0
At First Sight,1999,Drama,128.0,PG-13,Average,5.9,60000000,-37673753,55.0,106.0,11232,0,34,978,886.0
Wonder Boys,2000,Comedy,107.0,R,High,7.4,55000000,-35610546,173.0,335.0,54643,0,161,21000,826.0
"Legally Blonde 2: Red, White & Blonde",2003,Comedy,95.0,PG-13,Average,4.6,45000000,44808372,133.0,297.0,46417,660,0,934,655.0
WALLä_E,2008,Adventure,98.0,G,High,8.4,180000000,43806889,421.0,1043.0,718837,16000,475,1000,729.0
My Best Friend's Girl,2008,Comedy,112.0,R,Average,5.9,40000000,-20848136,80.0,100.0,36983,0,41,1000,500.0
Star Wars: Episode VI - Return of the Jedi,1983,Action,134.0,PG,High,8.4,32500000,276625409,197.0,647.0,681857,14000,37,11000,1000.0
Shorts,2009,Comedy,89.0,PG,Average,4.9,40000000,-19083691,103.0,37.0,5332,431,0,87000,570.0
Envy,2004,Comedy,99.0,PG-13,Average,4.8,40000000,-27818516,76.0,176.0,26390,713,272,1000,87.0
The Corruptor,1999,Action,110.0,R,Average,6.0,30000000,-14843800,91.0,131.0,15358,328,164,258,218.0
Rock Star,2001,Drama,105.0,R,Average,6.2,57000000,-40008098,107.0,191.0,34592,0,65,628,316.0
See Spot Run,2001,Action,94.0,PG,Average,5.4,35000000,-1642524,51.0,53.0,7392,393,14,1000,1000.0
City of Ember,2008,Adventure,90.0,PG,Average,6.5,55000000,-47128307,118.0,102.0,52908,0,27,13000,2000.0
White Chicks,2004,Comedy,109.0,PG-13,Average,5.4,37000000,32148997,62.0,251.0,98794,0,322,1000,961.0
Summer Catch,2001,Comedy,108.0,PG-13,Average,4.9,34000000,-14306109,50.0,107.0,12993,476,19,973,954.0
Turbulence,1997,Action,100.0,R,Average,4.7,71000000,-59533912,44.0,84.0,8983,316,0,995,879.0
Oz the Great and Powerful,2013,Adventure,130.0,PG,Average,6.4,215000000,19903076,525.0,511.0,175409,60000,0,44000,15000.0
Master and Commander: The Far Side of the World,2003,Action,138.0,PG-13,High,7.4,150000000,-56073614,244.0,684.0,168207,0,608,613,172.0
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Action,143.0,PG-13,High,8.1,140000000,165388685,271.0,2113.0,809474,10000,563,40000,5000.0
"I, Robot",2004,Action,115.0,PG-13,High,7.1,120000000,24795350,225.0,789.0,387632,0,295,10000,981.0
True Lies,1994,Action,141.0,R,High,7.2,115000000,31282411,94.0,351.0,190439,0,0,2000,1000.0
The Alamo,2004,Drama,137.0,PG-13,Average,6.0,107000000,-84593638,106.0,267.0,16832,701,102,2000,973.0
Happy Feet,2006,Animation,108.0,PG,Average,6.5,100000000,97992827,206.0,548.0,132501,0,750,49000,20000.0
Alien: Resurrection,1997,Action,116.0,R,Average,6.3,75000000,-27251390,223.0,656.0,170179,0,0,1000,720.0
Hitch,2005,Comedy,118.0,PG-13,Average,6.6,70000000,107575142,171.0,372.0,244840,0,72,10000,975.0
Race to Witch Mountain,2009,Action,98.0,PG,Average,5.7,65000000,2128202,166.0,110.0,43328,0,99,12000,536.0
Black Knight,2001,Adventure,95.0,PG-13,Average,4.8,50000000,-16577194,46.0,164.0,30771,0,19,1000,691.0
Chicago,2002,Comedy,113.0,PG-13,High,7.2,45000000,125684505,223.0,1017.0,172080,0,252,539,151.0
Four Brothers,2005,Action,109.0,R,High,6.9,45000000,29484168,123.0,340.0,109894,0,309,1000,654.0
The Last Stand,2013,Action,107.0,R,Average,6.4,45000000,-32973330,376.0,258.0,114241,24000,419,971,236.0
What's the Worst That Could Happen?,2001,Comedy,94.0,PG-13,Average,5.5,45000000,-12904682,64.0,84.0,12466,304,39,1000,611.0
School of Rock,2003,Comedy,108.0,PG-13,High,7.1,35000000,46257845,204.0,479.0,210680,0,0,2000,931.0
Ghost Ship,2002,Horror,91.0,R,Average,5.5,35000000,-4920684,156.0,474.0,75920,0,17,534,385.0
The Country Bears,2002,Comedy,88.0,G,Average,4.0,35000000,-18011004,43.0,75.0,3875,422,0,3000,968.0
The Perfect Man,2005,Comedy,100.0,PG,Average,5.5,25000000,-8752225,65.0,104.0,23527,767,15,1000,962.0
The Best Little Whorehouse in Texas,1982,Comedy,114.0,R,Average,5.8,35000000,34700000,11.0,48.0,7748,0,19,1000,883.0
The Fighter,2010,Biography,116.0,R,High,7.9,25000000,68571803,410.0,389.0,275869,36000,737,23000,238.0
The Death and Life of Bobby Z,2007,Action,97.0,R,Average,5.9,22000000,-21585383,30.0,31.0,12078,0,17,23000,10000.0
Glitter,2001,Drama,104.0,PG-13,Low,2.1,22000000,-17726628,66.0,308.0,19412,0,170,736,218.0
The Lion of Judah,2011,Animation,87.0,PG,Average,3.7,15000000,-15000000,7.0,3.0,458,381,11,578,418.0
The Watch,2012,Action,102.0,R,Average,5.7,68000000,-33649447,265.0,207.0,104066,15000,82,622,591.0
The Bridges of Madison County,1995,Drama,135.0,PG-13,High,7.5,35000000,35960517,69.0,192.0,54631,0,16000,16000,11000.0
Bringing Down the House,2003,Comedy,105.0,PG-13,Average,5.5,33000000,99541238,121.0,236.0,30058,800,163,1000,409.0
The Golden Child,1986,Action,94.0,PG-13,Average,5.9,25000000,54817937,29.0,69.0,39798,0,23,400,255.0
Recess: School's Out,2001,Animation,82.0,G,Average,6.5,23000000,13696761,44.0,38.0,6808,227,6,759,563.0
The Good Dinosaur,2015,Adventure,93.0,PG,High,6.8,200000000,-76929662,298.0,345.0,62836,20000,113,275,150.0
The Incredible Hulk,2008,Action,135.0,PG-13,High,6.8,150000000,-15481610,354.0,643.0,326286,0,255,3000,1000.0
That's My Boy,2012,Comedy,116.0,R,Average,5.6,70000000,-33068911,157.0,198.0,70681,12000,51,11000,3000.0
Halloween II,2009,Horror,119.0,R,Average,4.9,15000000,18386128,220.0,491.0,36372,3000,0,908,764.0
Growing Up Smith,2015,Comedy,102.0,PG-13,High,8.2,2000000,-1964688,,1.0,108,232,5,3000,660.0
All the Pretty Horses,2000,Drama,220.0,PG-13,Average,5.8,57000000,-41472875,85.0,183.0,11388,652,0,13000,861.0
Are We There Yet?,2005,Adventure,95.0,PG,Average,4.6,32000000,50301521,75.0,149.0,22679,773,32,826,642.0
Little Children,2006,Drama,137.0,R,High,7.6,26000000,-20540176,251.0,320.0,92781,5000,143,14000,617.0
Get Over It,2001,Comedy,87.0,PG-13,Average,5.8,22000000,-10439741,63.0,180.0,15617,0,13,15000,4000.0
Highway,2002,Crime,97.0,R,Average,6.3,14000000,-14000000,12.0,67.0,5182,912,10,15000,284.0
Stonewall,2015,Drama,129.0,R,Average,4.5,13500000,-13313646,74.0,30.0,1758,0,776,25000,463.0
Ishtar,1987,Action,107.0,PG-13,Average,4.2,51000000,-36624819,49.0,126.0,8692,754,124,636,631.0
The Contender,2000,Drama,126.0,R,High,7.0,20000000,-2195727,136.0,370.0,20449,1000,37,12000,10000.0
25th Hour,2002,Drama,108.0,R,High,7.7,15000000,-1939157,202.0,454.0,149528,0,0,22000,3000.0
The Amazing Spider-Man,2012,Action,153.0,PG-13,High,7.0,230000000,32030663,599.0,1225.0,451803,56000,464,15000,10000.0
Men in Black 3,2012,Action,106.0,PG-13,High,6.8,225000000,-45979146,451.0,341.0,268154,40000,188,10000,816.0
Star Trek,2009,Action,127.0,PG-13,High,8.0,150000000,107704099,518.0,1559.0,504419,19000,14000,26000,12000.0
Kill Bill: Vol. 1,2003,Action,111.0,R,High,8.1,30000000,40098138,354.0,2105.0,735784,13000,16000,926,890.0
The Green Hornet,2011,Action,119.0,PG-13,Average,5.8,120000000,-21219958,447.0,443.0,136019,14000,1000,11000,1000.0
Bicentennial Man,1999,Comedy,132.0,PG,High,6.8,100000000,-41779224,93.0,362.0,87785,0,0,49000,1000.0
What Lies Beneath,2000,Drama,130.0,PG-13,Average,6.6,100000000,55370362,185.0,683.0,98403,0,0,11000,627.0
The Last Witch Hunter,2015,Action,106.0,PG-13,Average,6.0,90000000,-62643910,202.0,117.0,58752,21000,42,14000,788.0
Mighty Joe Young,1998,Action,114.0,PG,Average,5.6,90000000,-39371991,35.0,88.0,22955,0,31,9000,496.0
The Finest Hours,2016,Action,117.0,PG-13,High,6.8,80000000,-52449265,178.0,113.0,27481,12000,44,788,562.0
Ransom,1996,Crime,139.0,R,Average,6.6,80000000,56448821,79.0,158.0,98989,1000,2000,960,848.0
S.W.A.T.,2003,Action,117.0,PG-13,Average,6.0,80000000,36643346,144.0,340.0,119807,0,69,10000,1000.0
Man on Fire,2004,Action,146.0,R,High,7.7,70000000,7862546,171.0,690.0,266310,14000,12000,18000,992.0
The Prince of Egypt,1998,Adventure,99.0,PG,High,7.0,70000000,31217900,120.0,353.0,91093,0,59,770,263.0
Shrek,2001,Adventure,90.0,PG,High,7.9,60000000,207652016,212.0,945.0,467113,0,80,145,50.0
Interview with the Vampire: The Vampire Chronicles,1994,Drama,123.0,R,High,7.6,60000000,45264608,120.0,406.0,239752,11000,277,11000,10000.0
Beautiful Creatures,2013,Drama,124.0,PG-13,Average,6.2,60000000,-40554783,231.0,258.0,67796,14000,98,1000,852.0
I Am Number Four,2011,Action,109.0,PG-13,Average,6.1,60000000,-4907170,288.0,329.0,195043,27000,154,15000,348.0
Christmas with the Kranks,2004,Comedy,99.0,PG,Average,5.2,60000000,13701902,105.0,209.0,27548,0,148,2000,843.0
The Cotton Club,1984,Crime,123.0,R,Average,6.5,58000000,-32100000,36.0,84.0,12771,828,0,12000,5000.0
The Whole Ten Yards,2004,Comedy,98.0,PG-13,Average,5.5,40000000,-23676031,74.0,112.0,45775,462,41,13000,2000.0
Team America: World Police,2004,Action,98.0,R,High,7.2,30000000,2774834,233.0,700.0,136048,0,406,860,523.0
Simon Birch,1998,Comedy,114.0,PG,High,6.9,30000000,-11747316,60.0,219.0,18366,0,160,1000,367.0
The Tigger Movie,2000,Animation,77.0,G,Average,6.3,30000000,15542421,89.0,53.0,13319,347,25,304,253.0
Gossip,2000,Drama,90.0,R,Average,5.9,24000000,-18891180,63.0,112.0,12519,853,49,12000,215.0
Friday After Next,2002,Comedy,85.0,R,Average,5.8,20000000,12983713,26.0,66.0,19284,981,7,723,706.0
10 Cloverfield Lane,2016,Drama,104.0,PG-13,High,7.3,15000000,56897215,411.0,440.0,126893,33000,16,14000,338.0
An Everlasting Piece,2000,Comedy,103.0,R,Average,6.3,14000000,-13924922,34.0,26.0,1398,132,272,736,450.0
The Frozen Ground,2013,Crime,105.0,R,Average,6.4,27220000,-21602540,120.0,133.0,43879,11000,17,12000,992.0
The Brothers Grimm,2005,Action,118.0,PG-13,Average,5.9,88000000,-50100362,233.0,492.0,98472,0,0,13000,13000.0
Lord of War,2005,Crime,122.0,R,High,7.6,50000000,-25872105,168.0,437.0,248123,10000,487,12000,43.0
Stranger Than Fiction,2006,Comedy,113.0,PG-13,High,7.6,38000000,2137776,253.0,529.0,186977,13000,395,8000,189.0
The Addams Family,1991,Comedy,99.0,PG-13,High,6.8,38000000,75502246,55.0,125.0,96607,5000,188,1000,1000.0
Gran Torino,2008,Drama,116.0,R,High,8.2,33000000,115085755,366.0,871.0,561773,28000,16000,16000,601.0
Kill Bill: Vol. 2,2004,Action,137.0,R,High,8.0,30000000,36207920,304.0,935.0,512749,0,16000,890,387.0
The Glass House,2001,Crime,106.0,PG-13,Average,5.8,30000000,-12048569,95.0,200.0,25462,804,12,962,844.0
Beverly Hills Cop II,1987,Action,100.0,R,Average,6.4,28000000,125665036,50.0,95.0,84824,0,12000,936,901.0
Sucker Punch,2011,Action,128.0,PG-13,Average,6.1,82000000,-45618284,435.0,918.0,197584,42000,0,4000,2000.0
3:10 to Yuma,2007,Adventure,122.0,R,High,7.8,55000000,-1425912,295.0,560.0,237872,0,446,23000,8000.0
"Blood In, Blood Out",1993,Crime,330.0,R,High,8.0,35000000,-30503417,12.0,129.0,23181,6000,138,848,674.0
A Few Good Men,1992,Drama,138.0,R,High,7.6,40000000,101340178,81.0,319.0,181879,0,0,10000,2000.0
The Princess Diaries,2001,Comedy,111.0,G,Average,6.2,37000000,71244774,108.0,301.0,94049,0,0,11000,995.0
13 Going on 30,2004,Comedy,98.0,PG-13,Average,6.1,37000000,19044241,119.0,339.0,122187,0,56,3000,2000.0
Armored,2009,Action,88.0,PG-13,Average,5.7,27000000,-11011124,107.0,110.0,26236,0,190,137000,459.0
Honey,2003,Drama,94.0,PG-13,Average,5.3,25000000,5222640,97.0,144.0,36666,0,23,2000,1000.0
Tootsie,1982,Comedy,116.0,PG,High,7.4,22000000,155200000,94.0,194.0,77366,0,521,13000,521.0
You Will Meet a Tall Dark Stranger,2010,Comedy,98.0,R,Average,6.3,22000000,-18752184,223.0,108.0,36145,0,11000,12000,6000.0
Road House,1989,Action,114.0,R,Average,6.5,17000000,13050028,83.0,201.0,42987,0,9,623,472.0
Sparkle,2012,Drama,116.0,PG-13,Average,5.7,17000000,7397469,82.0,48.0,5161,0,70,1000,876.0
The Island,2005,Action,136.0,PG-13,High,6.9,126000000,-90200974,257.0,899.0,263329,0,0,19000,12000.0
Cutthroat Island,1995,Action,124.0,PG-13,Average,5.6,98000000,-87000000,61.0,169.0,21102,1000,212,1000,903.0
Hellboy,2004,Action,132.0,PG-13,High,6.8,66000000,-6964896,242.0,597.0,244566,0,0,366,334.0
Frost/Nixon,2008,Drama,122.0,R,High,7.7,35000000,-16406844,302.0,241.0,88682,0,2000,2000,1000.0
Vampire in Brooklyn,1995,Comedy,100.0,R,Average,4.5,20000000,-100000,34.0,53.0,17262,1000,0,723,422.0
Letters from Iwo Jima,2006,Drama,141.0,R,High,7.9,19000000,-5246069,251.0,316.0,132149,5000,16000,378,85.0
On the Line,2001,Comedy,85.0,PG,Average,4.1,16000000,-11643257,46.0,79.0,3662,0,49,719,405.0
Deadfall,2012,Crime,95.0,R,Average,6.3,12000000,-11934196,162.0,86.0,32512,0,24,16000,10000.0
Cat People,1982,Fantasy,93.0,R,Average,6.1,18000000,3000000,130.0,106.0,14193,0,261,783,782.0
Trust,2010,Crime,106.0,R,High,7.0,9500000,-9441786,109.0,137.0,34224,10000,0,617,163.0
Hustle & Flow,2005,Crime,116.0,R,High,7.4,8000000,14201636,159.0,206.0,33567,0,153,275,247.0
Kung Fu Panda 3,2016,Action,95.0,PG,High,7.2,145000000,-1476537,210.0,145.0,64322,24000,5,24000,11000.0
The Adventures of Tintin,2011,Action,107.0,PG,High,7.4,135000000,-57435963,440.0,447.0,177383,44000,14000,2000,871.0
Home,2015,Adventure,94.0,PG,High,6.7,135000000,42343675,165.0,214.0,70133,26000,12,17000,523.0
Prometheus,2012,Adventure,124.0,R,High,7.0,130000000,-3535096,775.0,2326.0,456260,97000,0,13000,9000.0
The Wolverine,2013,Action,138.0,PG-13,High,6.7,120000000,12550960,440.0,533.0,328067,68000,446,20000,992.0
Starship Troopers,1997,Action,129.0,R,High,7.2,105000000,-50299935,192.0,1049.0,221521,0,719,660,475.0
Point Break,2015,Action,114.0,PG-13,Average,5.3,105000000,-76227778,163.0,163.0,33953,37000,19,1000,897.0
Unstoppable,2010,Action,98.0,PG-13,High,6.8,100000000,-18442521,316.0,326.0,149947,18000,12000,18000,3000.0
Ben-Hur,2016,Adventure,141.0,PG-13,Average,6.1,100000000,-73615319,1.0,1.0,57,0,335,11000,745.0
Sex and the City 2,2010,Comedy,146.0,R,Average,4.3,100000000,-4671063,221.0,293.0,59581,0,127,962,740.0
Hollow Man,2000,Action,119.0,R,Average,5.7,95000000,-21790660,180.0,628.0,101834,0,719,833,624.0
Cast Away,2000,Adventure,143.0,PG-13,High,7.7,90000000,143630478,221.0,1051.0,394317,23000,0,15000,410.0
Enemy of the State,1998,Action,140.0,R,High,7.3,90000000,21544445,81.0,415.0,188116,0,12000,10000,660.0
Meet Joe Black,1998,Drama,178.0,PG-13,High,7.1,90000000,-45393665,98.0,703.0,169023,10000,102,12000,11000.0
What Dreams May Come,1998,Drama,113.0,PG-13,High,7.0,85000000,-29649103,121.0,619.0,83560,32000,25,49000,448.0
Ice Age: The Meltdown,2006,Action,115.0,PG,High,6.9,80000000,115329763,164.0,253.0,194249,0,107,835,590.0
Bandits,2001,Comedy,123.0,PG-13,Average,6.6,80000000,-38476729,132.0,261.0,57038,0,272,13000,450.0
Spanglish,2004,Comedy,131.0,PG-13,Average,6.5,80000000,-37955679,124.0,342.0,65668,0,274,11000,964.0
Grown Ups,2010,Comedy,102.0,PG-13,Average,6.0,80000000,82001186,179.0,311.0,181443,12000,221,12000,11000.0
Inglourious Basterds,2009,Adventure,153.0,R,High,8.3,75000000,45523073,486.0,1527.0,885175,42000,16000,13000,11000.0
We Were Soldiers,2002,Action,124.0,R,High,7.1,75000000,3120196,141.0,742.0,103241,5000,130,4000,973.0
Rock of Ages,2012,Comedy,136.0,PG-13,Average,5.9,75000000,-36490658,360.0,356.0,61995,33000,163,394,217.0
Alvin and the Chipmunks: The Squeakquel,2009,Animation,88.0,PG,Average,4.5,75000000,144613391,107.0,98.0,31649,2000,84,1000,1000.0
Saving Private Ryan,1998,Action,169.0,R,High,8.6,70000000,146119491,219.0,2277.0,881236,22000,14000,15000,14000.0
What Women Want,2000,Comedy,127.0,PG-13,Average,6.4,70000000,112805123,149.0,395.0,158864,0,278,2000,955.0
Cliffhanger,1993,Action,124.0,R,Average,6.4,70000000,14049211,74.0,172.0,96096,0,212,13000,730.0
Hudson Hawk,1991,Action,100.0,R,Average,5.7,70000000,-52781920,60.0,249.0,43376,0,36,13000,773.0
300,2006,Action,117.0,R,High,7.7,65000000,145592590,460.0,2073.0,607235,13000,0,18000,
Collateral,2004,Crime,120.0,R,High,7.6,65000000,35003492,299.0,836.0,293662,0,0,10000,851.0
My Favorite Martian,1999,Comedy,94.0,PG,Average,4.9,65000000,-28169943,49.0,73.0,10883,448,80,1000,417.0
Supernova,2000,Horror,91.0,PG-13,Average,4.8,65000000,-50781132,100.0,282.0,14596,589,394,889,290.0
Rambo III,1988,Action,87.0,R,Average,5.7,63000000,-9284389,84.0,171.0,92106,2000,10,13000,1000.0
Alvin and the Chipmunks,2007,Animation,92.0,PG,Average,5.2,60000000,157326336,131.0,146.0,57276,0,25,1000,718.0
E.T. the Extra-Terrestrial,1982,Family,120.0,PG,High,7.9,10500000,424449459,215.0,515.0,281842,34000,14000,861,725.0
Dream House,2011,Drama,84.0,PG-13,Average,6.0,55000000,-33716560,174.0,137.0,46239,0,260,6000,694.0
Beverly Hills Cop III,1994,Action,104.0,R,Average,5.5,55000000,-12390000,36.0,114.0,60293,669,644,437,289.0
Nixon,1995,Biography,212.0,R,High,7.1,50000000,-36439040,83.0,161.0,23996,915,0,12000,5000.0
The Hitchhiker's Guide to the Galaxy,2005,Adventure,109.0,PG,High,6.8,50000000,1019112,276.0,1053.0,155745,10000,37,11000,2000.0
Underworld: Evolution,2006,Action,102.0,R,High,6.8,50000000,12318875,206.0,502.0,156225,0,235,956,845.0
The Ant Bully,2006,Adventure,88.0,PG,Average,5.9,50000000,-21866841,105.0,70.0,30055,593,8,12000,11000.0
Scary Movie 4,2006,Comedy,89.0,PG-13,Average,5.1,45000000,45703745,151.0,410.0,93748,1000,119,2000,869.0
In Time,2011,Action,109.0,PG-13,High,6.7,40000000,-2446068,360.0,463.0,304318,52000,487,20000,10000.0
Pushing Tin,1999,Comedy,124.0,R,Average,6.0,38000000,-29593736,56.0,175.0,24826,783,179,11000,617.0
The Next Three Days,2010,Crime,133.0,PG-13,High,7.4,35000000,-13870652,239.0,237.0,146364,27000,549,10000,796.0
North Country,2005,Drama,126.0,R,High,7.3,35000000,-16675758,155.0,214.0,32815,0,51,10000,9000.0
Warm Bodies,2013,Comedy,98.0,PG-13,High,6.9,35000000,31359959,452.0,326.0,184641,81000,129,303,18.0
Little Black Book,2004,Comedy,105.0,PG-13,Average,5.2,35000000,-14577793,73.0,116.0,15052,484,34,1000,681.0
Howard the Duck,1986,Action,110.0,PG,Average,4.6,35000000,-18704226,81.0,269.0,33669,0,8,1000,692.0
August Rush,2007,Drama,114.0,PG,High,7.5,30000000,1655091,148.0,364.0,87331,18000,59,49000,702.0
The Passion of the Christ,2004,Drama,120.0,R,High,7.1,30000000,-29500737,406.0,2814.0,179235,13000,0,260,252.0
A Lot Like Love,2005,Comedy,107.0,PG-13,Average,6.6,30000000,-8164216,112.0,161.0,58297,0,13,618,172.0
Jimmy Neutron: Boy Genius,2001,Action,82.0,G,Average,6.0,30000000,50920948,66.0,118.0,23943,425,8,770,677.0
Hide and Seek,2005,Drama,101.0,R,Average,5.9,30000000,21097664,180.0,450.0,70205,0,21,22000,812.0
Freddy vs. Jason,2003,Action,97.0,R,Average,5.8,30000000,52163317,273.0,885.0,89101,3000,31,918,782.0
Cradle 2 the Grave,2003,Action,101.0,R,Average,5.8,30000000,4604054,109.0,185.0,34942,1000,43,5000,618.0
Disaster Movie,2008,Comedy,88.0,PG-13,Low,1.9,25000000,-10825346,111.0,359.0,74945,0,82,869,624.0
De-Lovely,2004,Biography,125.0,PG-13,Average,6.6,20000000,-6662701,119.0,226.0,9649,1000,34,427,66.0
Idle Hands,1999,Comedy,92.0,R,Average,6.2,20000000,-15997045,59.0,198.0,33745,0,6,890,729.0
The Conjuring 2,2016,Horror,134.0,R,High,7.8,40000000,62310175,300.0,279.0,64989,40000,0,1000,575.0
Boat Trip,2002,Comedy,97.0,R,Average,4.9,20000000,-11413624,63.0,132.0,26598,1000,2,890,852.0
The Marine,2006,Action,92.0,PG-13,Average,4.7,20000000,-1156686,78.0,284.0,27486,0,8,472,239.0
Fantastic Mr. Fox,2009,Adventure,87.0,PG,High,7.8,40000000,-19000897,335.0,245.0,139114,15000,0,13000,11000.0
The Mist,2007,Horror,126.0,R,High,7.2,18000000,7592632,330.0,1066.0,220475,20000,0,2000,850.0
Baby Geniuses,1999,Comedy,97.0,PG,Low,2.5,18000000,9141959,45.0,168.0,19547,0,84,899,842.0
Henry & Me,2014,Animation,67.0,PG,High,6.7,10000000,-10000000,3.0,1.0,83,165,0,979,732.0
The Green Inferno,2013,Adventure,100.0,R,Average,5.4,6000000,1186670,285.0,164.0,21468,12000,0,640,550.0
The Hole,2009,Adventure,92.0,PG-13,Average,5.7,12000000,-1165594,147.0,69.0,19157,0,287,844,708.0
Big Daddy,1999,Comedy,93.0,PG-13,Average,6.4,34200000,129279795,112.0,289.0,161858,0,221,12000,11000.0
Twister,1996,Action,113.0,PG-13,Average,6.3,92000000,149688385,114.0,395.0,144053,0,101,22000,946.0
South Park: Bigger Longer & Uncut,1999,Animation,81.0,R,High,7.8,21000000,31008288,163.0,928.0,162037,0,406,893,795.0
V for Vendetta,2005,Action,132.0,R,High,8.2,54000000,16496802,525.0,2042.0,791783,48000,160,20000,979.0
Delivery Man,2013,Comedy,105.0,PG-13,Average,6.4,26000000,4659817,168.0,95.0,59805,0,31,390,311.0
